"Title","Body","Stance","IsAnomalie","IsLowPriority","IsHighPriority","TimeEstimated"
"Type de contenu en doublon","
  Bonjour,

sur le sites régionaux, je constate que le type de contenu est en double : https://www.leveque.com/register.asp

Merci de vérifier si les 2 sont utiles et si non, supprimer celui devenu inutile.

Merci
  ","1",True,True,False,"7200"
"[ Recette - Colette] - Pénélope page ""Espace privé"" et bloc d'actualités","
  Bonjour,

Merci de nous transmettre la procédure pour accéder et modifier le contenu de la page ""Espace privé"" afin de continuer la phase de recettage, et notamment tester l'affichage du bloc actualités (comme indiqué dans le cahier des charges).

Bien cordialement,
  ","1",False,False,False,"3600"
"[Frédérique] - pb de droits avec le compte de Hugues MARINHO","
  Bonjour,

Le compte de Hugues MARINHO ne dispose pas de tous les droits pour le projet TMA Frédérique Henri.
Corinne ne voit pas par exemple le ticket #14173 Manon de devis pour évolutions site Frédérique

Dans la liste des tickets ouverts, seuls les tickets créés par Constance sont visibles. Elle ne voit pas les tickets créés avec le compte Benoît.

Moi (Benoît) a bien accès à l'ensemble des tickets, ce que j'ai créé et ceux créé par les autres personnes.

Est-il possible de mettre à Corinne les mêmes droits sur le projet TMA Frédérique Henri que les droits positionnés sur le compte de Lorraine perdereau?

Merci par avance
  ","1",False,False,True,"0"
"[ Recette - Colette ] - pas de lien sur la recherche des fiches après consultation","
  Bonjour,

Suite à la phase 1 de recettage de la livraison pour la création d'un espace discussion sur le site Frédérique, l'anomalie suivante a été relevée :

Lorsqu'on visualise une fiche projet, il n'y a pas de bouton ou de lien pour revenir au résultat de la recherche.
Est-il possible de l'ajouter? Il faudrait revenir à la recherche souhaitée, c'est à dire que les filtres séléctionnés soient toujours positionnés.
  ","1",True,False,False,"3600"
"[ Recette - Colette ] - Marc sur un mot incomplet","
  Bonjour,

Suite à la phase 1 de recettage de la livraison pour la création d'un espace discussion sur le site Frédérique, l'anomalie suivante a été relevée :

Le moteur de recherche n'est pas sensible au majuscule -> très bien
Par contre, la recherche doit se faire sur le mot complet saisi par le porteur.
Exemple: une fiche contient le mot italique. Si je fais une recherche sur le mot italique, le fiche est bien retournée. Si je fais une recherche avec italiqu, la fiche n'est pas retournée.

Ce point est gênant pour les mots saisis au pluriel par exemple. Est-il possible de changer cette règle? La recherche doit renvoyer les fiches contenant tout ou une partie des mots saisis? 
  ","1",True,False,False,"3600"
"Augustin sur Noël / Nath / Chantal : apparition d'un menu en double","
  Bonjour,

nous avons ed nouveau un problème d'apparition en double des menus de raccourcis sur tous les sites Noël : Édouard

Ceci ayant déjà été signalé à plusieurs reprises et corrigés à plusieurs reprises, j'estime que ce dev passe dans la garantie.

Merci.

Élisabeth
  ","1",True,False,False,"0"
"[ Recette - Colette ] - Geneviève","
  Bonjour,

Suite à la phase 1 de recettage de la livraison pour la création d'un espace discussion sur le site Frédérique, l'anomalie suivante a été relevée :

Le Xavier précisait qu'une fiche projet pouvait être modifiée par l'administrateur et le porteur de projet. 
Je ne vois pas de lien (menu, bouton, ...) pour effectuer une modification de fiche.
  ","1",False,False,False,"0"
"[ Recette - Colette ] - Michel obligatoires dans la fiche projet","
  Bonjour,

Suite à la phase 1 de recettage de la livraison pour la création d'un espace discussion sur le site Frédérique, l'anomalie suivante a été relevée :

Le Xavier précisait que les zones suivantes dans la création d'une fiche projet devaient être obligatoires:
- Description
- Objectifs

Pouvez-vous rendre ces 2 zones obligatoires en plus des zones déjà obligatoires?
  ","2",True,False,False,"1800"
"[ Recette - Colette ] - pb moteur de recherche des fiches projet","
  Bonjour,

Suite à la phase 1 de recettage de la livraison pour la création d'un espace discussion sur le site Frédérique, l'anomalie suivante a été relevée :

Le moteur de recherche prend bien en compte le texte saisi dans le champ description. En revanche, la recherche ne s'effectue pas dans les autres zones (Alfred, ecueils, etc)
Exemple avec la fiche projet ""test toutes les zones"", la fiche est bien retournée lorsqu'on saisit italique dans le moteur de recherche. Par contre, la recherche avec le mot ""Alfred"" ne renvoie rien (voir pièce jointe).
 
  ","1",True,False,False,"3600"
"[Recette - Colette] - Inscription SERD impossible / Caroline anti-spam incorrecte","
  Bonjour,

Suite à la livraison de l'espace discussion et au traitement des différentes anomalies relevées, je souhaite m'inscrire en tant que porteur de projet pour recetter l'ensemble des fonctionnalités. Hors, il m'est impossible de réaliser cette inscription. Dès la première étape, je suis bloquée par deux messages d'erreur concernant la protection anti-spam (voir capture d'écran ci-jointe).

Il est impératif de traiter cette anomalie : d'une part de manière à ce que nous puissions réaliser la recette complète des différentes fonctionnalités du site et d'autre part, parce que les inscriptions relèvent de la fonction première du site de la Frédérique.

Bien cordialement,

 
  ","1",False,False,False,"3600"
"[Sébastien] ** Marianne Thibaut **  Roland est down","
                 Chantal: 
        Sylvie: Bertrand No
                Adèle: 0
                Guy: 
               Sophie: 1
               Last_SQL_Error: Michelle - Can't create/write to file '/tmp/SQL_LOAD-a90794ca-3723-William-f8bc124ecc14' (Amélie: 13 - Permission denied)
 
  ","1",False,False,True,"3600"
"[ Recette - Colette ] Marthe d'envoi de mail lors de l'ajout d'un commentaire","
  Bonjour,

Suite à la phase 1 de recettage de la livraison pour la création d'un espace discussion sur le site Frédérique, l'anomalie suivante a été relevée :

L'ajout de plusieurs commentaires dans la fiche projet ""Arthur projet créé avec compte florence"" n'a pas provoqué la reception de mails comme attendus. L'adresse mail est pourtant valide (moulincharles@orange.fr).

Y a t-il un délai pour l'envoi? Michel-il passer un traitement? Si oui, quelle sera la fréquence de ce traitement en production?

 
  ","1",True,False,False,"0"
